ano,nome,personagem,filme,ganhou
1983,Meryl Streep,Karen Silkwood,Silkwood,False
1983,Julie Walters,Susan White / Rita,Educating Rita,False
1983,Debra Winger,Emma Greenway Horton,Educating Rita,False
1984,Sally Field,Edna Spalding,Places in the Heart,True
1984,Judy Davis,Adela Quested,A Passage to India,False
1984,Jessica Lange,Jewell Ivy,Country,False
1984,Vanessa Redgrave,Olive Chancellor,The Bostonians,False
1984,Sissy Spacek,Mae Garvey,The River,False
1985,Geraldine Page,Carrie Watts,The Trip to Bountiful,True
1985,Anne Bancroft,Miriam Ruth / Anna Maria Burchetti,Agnes of God,False
1985,Whoopi Goldberg,Celie Harris-Johnson,The Color Purple,False
1985,Jessica Lange,Patsy Cline,Sweet Dreams,False
1985,Meryl Streep,Karen Blixen,Out of Africa,False
1986,Marlee Matlin,Sarah Norman,Children of a Lesser God,True
1986,Jane Fonda,Alex Sternbergen / Viveca Van Loren,The Morning After,False
1986,Sissy Spacek,Babe Botrelle / Rebecca MaGrath,Crimes of the Heart,False
1986,Kathleen Turner,Peggy Sue Kelcher-Bodell,Peggy Sue Got Married,False
1986,Sigourney Weaver,Ellen Ripley,Aliens,False
1987,Cher,Loretta Castorini,Moonstruck,True
1987,Glenn Close,Alex Forrest,Fatal Attraction,False
1987,Holly Hunter,Jane Craig,Broadcast News,False
1987,Sally Kirkland,Anna,Anna,False
1987,Meryl Streep,Helen Archer,Ironweed,False
1988,Jodie Foster,Sarah Tobias,The Accused,True
1988,Glenn Close,Marquise Isabelle de Merteuil,Dangerous Liaisons,False
1988,Melanie Griffith,Tess McGill,Working Girl,False
1988,Meryl Streep,Lindy Chamberlain,A Cry in the Dark,False
1988,Sigourney Weaver,Dian Fossey,Gorillas in the Mist,False
1989,Jessica Tandy,Daisy Werthan,Driving Miss Daisy,True
1989,Isabelle Adjani,Camille Claudel,Camille Claudel,False
1989,Pauline Collins,Shirley Valentine-Bradshaw,Shirley Valentine,False
1989,Jessica Lange,Ann Talbot,Music Box,False
1989,Michelle Pfeiffer,Susie Diamond,The Fabulous Baker Boys,False
1990,Kathy Bates,Annie Wilkes,Misery,True
1990,Anjelica Huston,Lilly Dillon,The Grifters,False
1990,Julia Roberts,Vivian Ward,Pretty Woman,False
1990,Meryl Streep,Suzanne Vale,Postcards from the Edge,False
1990,Joanne Woodward,India Bridge,Mr. & Mrs. Bridge,False
1991,Jodie Foster,Clarice Starling,The Silence of the Lambs,True
1991,Geena Davis,Thelma Dickinson,Thelma & Louise,False
1991,Laura Dern,Rose,Rambling Rose,False
1991,Bette Midler,Dixie Leonard,For the Boys,False
1991,Susan Sarandon,Louise Sawyer,For the Boys,False
1992,Emma Thompson,Margaret Schlegel,Howards End,True
1992,Catherine Deneuve,Éliane Devries,Indochine,False
1992,Mary McDonnell,May-Alice Culhane,Passion Fish,False
1992,Michelle Pfeiffer,"Louise Irene ""Lurene"" Hallett",Love Field,False
1992,Susan Sarandon,Michaela Murphy Odone,Lorenzo's Oil,False
1993,Holly Hunter,Ada McGrath,The Piano,True
1993,Angela Bassett,Anna Mae Bullock / Tina Turner,What's Love Got to Do with It,False
1993,Stockard Channing,"Louisa ""Ouisa"" Kittredge",Six Degrees of Separation,False
1993,Emma Thompson,"Sarah ""Sally"" Kenton",The Remains of the Day,False
1993,Debra Winger,Joy Davidman,Shadowlands,False
1994,Jessica Lange,Carly Marshall,Blue Sky,True
1994,Jodie Foster,Nell Kellty,Nell,False
1994,Miranda Richardson,Vivienne Haigh-Wood,Tom & Viv,False
1994,Winona Ryder,"Josephine ""Jo"" March",Little Women,False
1994,Susan Sarandon,"Regina ""Reggie"" Love",The Client,False
1995,Susan Sarandon,Helen Prejean,Dead Man Walking,True
1995,Elisabeth Shue,Sera,Leaving Las Vegas,False
1995,Sharon Stone,Ginger McKenna,Casino,False
1995,Meryl Streep,Francesca Johnson,The Bridges of Madison County,False
1995,Emma Thompson,Elinor Dashwood,Sense and Sensibility,False
1996,Frances McDormand,Marge Gunderson,Fargo,True
1996,Brenda Blethyn,Cynthia Rose Purley,Secrets & Lies,False
1996,Diane Keaton,Bessie Wakefield,Marvin's Room,False
1996,Kristin Scott Thomas,Katharine Clifton,The English Patient,False
1996,Emily Watson,Bess McNeill,Breaking the Waves,False
1997,Helen Hunt,Carol Connelly,As Good as It Gets,True
1997,Helena Bonham Carter,Kate Croy,The Wings of the Dove,False
1997,Julie Christie,Phyllis Hart,Afterglow,False
1997,Judi Dench,Queen Victoria,Mrs Brown,False
1997,Kate Winslet,Rose DeWitt Bukater,Titanic,False
1998,Gwyneth Paltrow,Viola de Lesseps,Shakespeare in Love,True
1998,Cate Blanchett,Queen Elizabeth I,Elizabeth,False
1998,Fernanda Montenegro,"Isadora ""Dora"" Teixeira",Central Station,False
1998,Meryl Streep,Kate Gulden,One True Thing,False
1998,Emily Watson,Jacqueline du Pré,Hilary and Jackie,False
1999,Hilary Swank,Brandon Teena,Boys Don't Cry,True
1999,Annette Bening,Carolyn Burnham,American Beauty,False
1999,Janet McTeer,Mary Jo Walker,Tumbleweeds,False
1999,Julianne Moore,Sarah Miles,The End of the Affair,False
1999,Meryl Streep,Roberta Guaspari,Music of the Heart,False
2000,Julia Roberts,Erin Brockovich,Erin Brockovich,True
2000,Joan Allen,Laine Hanson,The Contender,False
2000,Juliette Binoche,Vianne Rocher,Chocolat,False
2000,Ellen Burstyn,Sara Goldfarb,Requiem for a Dream,False
2000,Laura Linney,"Samantha ""Sammy"" Prescott",You Can Count on Me,False
2001,Halle Berry,Leticia Musgrove,Monster's Ball,True
2001,Judi Dench,Iris Murdoch,Iris,False
2001,Nicole Kidman,Satine,Moulin Rouge!,False
2001,Sissy Spacek,Ruth Fowler,In the Bedroom,False
2001,Renée Zellweger,Bridget Jones,Bridget Jones's Diary,False
2002,Nicole Kidman,Virginia Woolf,The Hours,True
2002,Salma Hayek,Frida Kahlo,Frida,False
2002,Diane Lane,"Constance ""Connie"" Sumner",Unfaithful,False
2002,Julianne Moore,Cathy Whitaker,Far from Heaven,False
2002,Renée Zellweger,Roxie Hart,Chicago,False
2003,Charlize Theron,Aileen Wuornos,Monster,True
2003,Keisha Castle-Hughes,Paikea Apirana,Whale Rider,False
2003,Diane Keaton,Erica Jane Berry,Something's Gotta Give,False
2003,Samantha Morton,Sarah Sullivan,In America,False
2003,Naomi Watts,Cristina Williams-Peck,21 Grams,False
2004,Hilary Swank,Maggie Fitzgerald,Million Dollar Baby,True
2004,Annette Bening,Julia Lambert,Being Julia,False
2004,Catalina Sandino Moreno,María Álvarez,Maria Full of Grace,False
2004,Imelda Staunton,Vera Rose Drake,Vera Drake,False
2004,Kate Winslet,Clementine Kruczynski,Eternal Sunshine of the Spotless Mind,False
