ano,nome,personagem,filme,ganhou
1994,Geena Davis,Julia Mann,Speechless,False
1994,Shirley MacLaine,Tess Carlisle,Guarding Tess,False
1994,Miranda Richardson,Vivienne Haigh-Wood Eliot,Tom & Viv,False
1994,Jessica Lange,Carly Marshall,Blue Sky,True
1994,Meryl Streep,Gail Hartman,The River Wild,False
1994,Andie MacDowell,Carrie,Four Weddings and a Funeral,False
1995,Toni Collette,Muriel Heslop,Muriel's Wedding,False
1995,Sandra Bullock,Lucy Eleanor Moderatz,While You Were Sleeping,False
1995,Vanessa Redgrave,Miss Bentley,A Month by the Lake,False
1995,Meryl Streep,Francesca Johnson,The Bridges of Madison County,False
1995,Elisabeth Shue,Sera,Leaving Las Vegas,False
1995,Nicole Kidman,Suzanne Stone-Maretto,To Die For,True
